Age,Gender,Income,Marital_Status,Education,Occupation,Claim_Amount
72.0,Female,404427.9082545613,Married,PhD,Waiter,683.0
59.0,Male,208426.0,Married,PhD,CEO,3795.0
34.0,Male,74106.0,Married,PhD,Engineer,5776.0
21.0,Male,164928.0,Single,Master's,Waiter,46931.0
44.0,Male,35934.0,Married,PhD,Teacher,994.0
51.0,Male,39983.0,Single,PhD,CEO,8704.0
31.0,Female,404427.9082545613,Single,PhD,Teacher,1766.0
32.0,Male,269409.0,Single,Master's,Doctor,39002.0
68.0,Female,200056.0,Single,PhD,CEO,4549.0
44.0,Male,92496.0,Married,Master's,CEO,9129.0
68.0,Female,171101.0,Single,Master's,CEO,87451.0
37.0,Male,201907.0,Married,Master's,CEO,4616.0
50.0,Female,299167.0,Single,PhD,CEO,3048.0
58.0,Male,43616.0,Single,PhD,Doctor,4581.0
29.0,Female,20569.0,Married,Master's,Teacher,5126.0
46.0,Male,91115.0,Single,PhD,CEO,2774.0
38.0,Female,47804.0,Single,Bachelor's,CEO,2518.0
51.0,Male,34457.0,Married,Master's,CEO,2814.0
73.0,Female,249875.0,Married,PhD,Teacher,34214.0
67.0,Female,187893.0,Single,Bachelor's,CEO,8154.0
79.0,Female,133393.0,Single,Master's,Teacher,97642.0
25.0,Male,31203.0,Single,PhD,Teacher,9512.0
55.0,Male,27469.0,Married,Master's,CEO,3529.0
76.0,Male,132284.0,Married,PhD,CEO,7741.0
52.0,Male,126396.0,Single,Bachelor's,Doctor,93043.0
68.0,Female,224187.0,Single,Master's,Engineer,26837.0
46.0,Female,59247.0,Single,PhD,CEO,4581.0
36.0,Male,199162.0,Single,Master's,Doctor,30305.0
73.0,Male,44362.0,Single,PhD,Engineer,3520.0
62.0,Male,18526.0,Single,Master's,Waiter,7809.0
41.0,Male,104065.0,Single,Master's,CEO,4151.0
48.0,Female,221786.0,Single,Master's,Teacher,77291.0
47.0,Male,92868.0,Single,Bachelor's,CEO,8136.0
26.0,Female,27675.0,Single,PhD,Teacher,51783.0
56.0,Male,120892.0,Single,Bachelor's,CEO,6825.0
46.0,Female,134214.0,Single,PhD,Engineer,99841.0
50.0,Male,193314.0,Married,Bachelor's,Teacher,81716.0
102.42154354562416,Male,38932.0,Married,PhD,Doctor,25646.0
39.0,Male,108032.0,Single,PhD,Engineer,46778.0
75.0,Female,194647.0,Single,Master's,CEO,3951.0
21.0,Male,288269.0,Single,Master's,CEO,9112.0
25.0,Female,21658.0,Single,Master's,Doctor,6725.0
29.0,Male,214985.0,Single,Master's,CEO,1374.0
64.0,Female,63763.0,Married,Master's,Teacher,81184.0
57.0,Female,179670.0,Single,Master's,Doctor,9753.0
76.0,Female,32876.0,Single,Master's,CEO,9544.0
102.42154354562416,Female,101351.0,Married,Master's,CEO,8634.0
73.0,Male,162722.0,Married,PhD,CEO,9093.0
21.0,Female,212481.0,Single,PhD,CEO,8408.0
39.0,Female,81443.0,Married,PhD,Waiter,1251.0
69.0,Male,152912.0,Single,Bachelor's,CEO,2023.0
64.0,Male,36232.0,Single,Master's,CEO,2756.0
28.0,Female,38837.0,Single,Master's,Teacher,852.0
40.0,Male,53352.0,Single,PhD,CEO,4206.0
61.0,Female,20482.0,Married,Bachelor's,CEO,7665.0
62.0,Female,36240.0,Single,Bachelor's,Engineer,6612.0
20.0,Female,404427.9082545613,Single,Master's,CEO,2324.0
54.0,Male,240142.0,Single,PhD,Waiter,8643.0
102.42154354562416,Male,220378.0,Married,PhD,Doctor,86585.0
76.0,Female,164133.0,Married,PhD,CEO,4161.0
49.0,Male,97328.0,Married,Master's,CEO,5501.0
62.0,Male,23012.0,Single,Bachelor's,Engineer,9489.0
74.0,Male,116704.0,Single,PhD,Waiter,7996.0
102.42154354562416,Male,289877.0,Single,Master's,Doctor,316.0
23.0,Female,183099.0,Married,PhD,Doctor,5314.0
102.42154354562416,Male,123196.0,Married,Master's,CEO,1426.0
37.0,Female,101509.0,Single,PhD,CEO,3894.0
48.0,Female,246317.0,Single,Master's,CEO,1587.0
77.0,Female,404427.9082545613,Single,PhD,Engineer,78254.0
78.0,Male,208206.0,Married,PhD,CEO,5755.0
71.0,Female,193166.0,Single,Master's,CEO,2231.0
39.0,Female,270819.0,Married,Bachelor's,CEO,5627.0
52.0,Female,25961.0,Single,Master's,Waiter,8022.0
24.0,Male,222299.0,Single,Bachelor's,CEO,6581.0
34.0,Female,201463.0,Single,Master's,Engineer,3346.0
39.0,Female,136845.0,Single,Master's,Teacher,1652.0
34.0,Male,71409.0,Married,Master's,Engineer,10741.0
32.0,Male,294810.0,Married,PhD,Teacher,9858.0
50.0,Male,261618.0,Single,PhD,CEO,6823.0
63.0,Female,85517.0,Married,PhD,Waiter,8020.0
50.0,Female,51694.0,Single,Master's,CEO,3246.0
23.0,Female,153790.0,Single,Master's,CEO,5692.0
33.0,Female,286673.0,Single,Bachelor's,Engineer,2116.0
46.0,Male,60418.0,Single,PhD,Engineer,6093.0
60.0,Male,20169.0,Single,Bachelor's,CEO,6269.0
37.0,Female,30082.0,Single,Bachelor's,Doctor,2150.0
46.0,Female,69548.0,Married,PhD,CEO,6232.0
58.0,Female,254529.0,Single,PhD,Engineer,54991.0
27.0,Female,40594.0,Single,PhD,Doctor,4106.0
25.0,Female,252942.0,Single,Master's,Waiter,89811.0
49.0,Male,291542.0,Married,PhD,CEO,8278.0
46.0,Female,136706.0,Married,Master's,Engineer,7214.0
44.0,Female,226939.0,Single,Master's,Engineer,64342.0
53.0,Male,207530.0,Single,Bachelor's,Engineer,66966.0
64.0,Female,76301.0,Married,Bachelor's,Engineer,4075.0
34.0,Male,207773.0,Married,Bachelor's,Doctor,61773.0
67.0,Male,37289.0,Married,Bachelor's,CEO,1546.0
28.0,Female,98552.0,Single,PhD,Teacher,52114.0
53.0,Female,105258.0,Married,Bachelor's,Engineer,7721.0
31.0,Female,204819.0,Married,PhD,Doctor,29746.0
45.0,Male,42218.0,Married,Master's,CEO,8778.0
102.42154354562416,Female,11602.0,Married,Master's,Waiter,278.0
69.0,Female,225913.0,Single,Bachelor's,CEO,4147.0
57.0,Female,119983.0,Married,PhD,Engineer,52633.0
29.0,Female,189857.0,Single,PhD,CEO,6660.0
27.0,Female,40594.0,Single,PhD,Doctor,4106.0
63.0,Female,74501.0,Single,Bachelor's,CEO,8948.0
72.0,Female,44036.0,Single,Master's,Engineer,4728.0
59.0,Female,24712.0,Single,Master's,Teacher,1175.0
75.0,Female,195898.0,Single,Bachelor's,Waiter,4556.0
45.0,Female,209363.0,Married,Bachelor's,CEO,8627.0
74.0,Female,52113.0,Single,Master's,Waiter,853.0
25.0,Male,45934.0,Single,Bachelor's,Engineer,5975.0
71.0,Male,217140.0,Married,Bachelor's,CEO,4286.0
70.0,Female,60114.0,Married,Master's,Teacher,69331.0
70.0,Male,126271.0,Married,Bachelor's,CEO,1628.0
78.0,Female,53630.0,Single,Master's,Doctor,63139.0
102.42154354562416,Female,195593.0,Single,Master's,Engineer,8887.0
78.0,Female,151554.0,Married,PhD,Engineer,35271.0
79.0,Male,277803.0,Single,Bachelor's,Waiter,23074.0
24.0,Male,149847.0,Single,PhD,CEO,8216.0
49.0,Male,25232.0,Single,Master's,Waiter,80777.0
34.0,Female,243721.0,Single,Bachelor's,Waiter,4620.0
60.0,Female,240947.0,Single,Master's,CEO,8528.0
62.0,Female,36240.0,Single,Bachelor's,Engineer,6612.0
41.0,Female,61303.0,Single,Bachelor's,Doctor,619.0
30.0,Male,41039.0,Single,Master's,Doctor,3071.0
39.0,Male,404427.9082545613,Single,Bachelor's,Engineer,23549.0
37.0,Female,75710.0,Single,PhD,CEO,9428.0
41.0,Male,77728.0,Single,PhD,Engineer,1919.0
34.0,Female,201463.0,Single,Master's,Engineer,3346.0
102.42154354562416,Female,195593.0,Single,Master's,Engineer,8887.0
27.0,Female,51578.0,Married,PhD,Engineer,5168.0
75.0,Female,255602.0,Single,Bachelor's,Engineer,664.0
36.0,Female,41310.0,Married,PhD,CEO,7803.0
25.0,Female,22571.0,Married,Bachelor's,Teacher,5033.0
42.0,Female,404427.9082545613,Married,PhD,CEO,6918.0
69.0,Female,88590.0,Single,Bachelor's,Waiter,2535.0
46.0,Female,208778.0,Married,PhD,CEO,9457.0
35.0,Female,16228.0,Married,PhD,Engineer,9527.0
47.0,Female,162807.0,Single,PhD,CEO,7216.0
67.0,Female,231365.0,Single,Bachelor's,Doctor,9621.0
18.0,Female,42523.0,Single,Master's,Engineer,8280.0
67.0,Female,217708.0,Single,PhD,CEO,8197.0
39.0,Female,25481.0,Single,Bachelor's,Engineer,98216.0
73.0,Female,185334.0,Single,PhD,Waiter,49930.0
35.0,Female,297038.0,Married,Bachelor's,Engineer,4060.0
64.0,Female,76301.0,Married,Bachelor's,Engineer,4075.0
21.0,Male,10331.0,Single,Master's,Waiter,6128.0
102.42154354562416,Female,39969.0,Single,PhD,CEO,487.0
46.0,Female,404427.9082545613,Single,Bachelor's,CEO,4345.0
25.0,Female,227397.0,Married,PhD,CEO,9578.0
63.0,Male,92865.0,Married,Master's,CEO,9531.0
29.0,Male,148431.0,Single,Bachelor's,Waiter,11688.0
102.42154354562416,Female,190096.0,Married,Bachelor's,Waiter,48575.0
21.0,Female,41053.0,Single,Master's,CEO,6859.0
54.0,Female,68972.0,Single,Bachelor's,Doctor,7583.0
42.0,Female,65348.0,Married,PhD,Teacher,4367.0
65.0,Male,56643.0,Single,PhD,CEO,7402.0
44.0,Male,276862.0,Single,PhD,Engineer,64686.0
39.0,Male,270439.0,Single,Master's,CEO,5337.0
61.0,Female,42071.0,Single,PhD,Doctor,1472.0
70.0,Female,60114.0,Married,Master's,Teacher,69331.0
35.0,Female,30193.0,Single,Master's,Waiter,2674.0
20.0,Male,250784.0,Married,Master's,Teacher,89796.0
59.0,Male,404427.9082545613,Married,PhD,Waiter,9122.0
45.0,Male,255842.0,Single,Master's,Engineer,58578.0
71.0,Female,86840.0,Married,Master's,CEO,9698.0
18.0,Female,42523.0,Single,Master's,Engineer,8280.0
75.0,Female,29631.0,Single,PhD,Teacher,2700.0
50.0,Male,132755.0,Single,Master's,Doctor,23754.0
33.0,Male,191381.0,Married,Master's,Engineer,1988.0
75.0,Male,57602.0,Married,Bachelor's,Engineer,1950.0
102.42154354562416,Male,283671.0,Married,PhD,CEO,2206.0
44.0,Female,226939.0,Single,Master's,Engineer,64342.0
102.42154354562416,Female,284230.0,Single,Master's,CEO,8315.0
72.0,Female,274416.0,Married,Bachelor's,Doctor,2517.0
26.0,Female,55475.0,Single,PhD,Engineer,86905.0
72.0,Female,94929.0,Single,Master's,Waiter,23734.0
72.0,Female,274416.0,Married,Bachelor's,Doctor,2517.0
31.0,Male,135068.0,Married,Master's,Waiter,50858.0
57.0,Female,63466.0,Single,PhD,CEO,1337.0
55.0,Female,404427.9082545613,Single,PhD,Teacher,20406.0
65.0,Female,23318.0,Married,Master's,Engineer,1446.0
23.0,Female,43115.0,Single,PhD,Teacher,280.0
68.0,Female,49073.0,Married,Master's,Waiter,8828.0
55.0,Female,197655.0,Married,Master's,CEO,8773.0
79.0,Female,251985.0,Single,Bachelor's,CEO,2312.0
54.0,Male,240142.0,Single,PhD,Waiter,8643.0
38.0,Male,46483.0,Married,Master's,CEO,7687.0
75.0,Female,152569.0,Married,Bachelor's,CEO,8248.0
42.0,Female,220260.0,Married,PhD,Waiter,401.0
25.0,Female,126743.0,Single,Bachelor's,CEO,7530.0
75.0,Female,43008.0,Single,PhD,Teacher,3818.0
33.0,Male,205996.0,Single,PhD,Engineer,8343.0
59.0,Male,27001.0,Single,Bachelor's,Waiter,6672.0
36.0,Female,404427.9082545613,Married,Bachelor's,Teacher,3231.0
58.0,Female,148093.0,Married,Master's,CEO,7732.0
21.0,Male,241756.0,Single,Bachelor's,CEO,1541.0
38.0,Female,202429.0,Married,Bachelor's,Engineer,8785.0
64.0,Female,261454.0,Married,PhD,CEO,6369.0
66.0,Female,20427.0,Single,Master's,Waiter,7096.0
54.0,Male,140684.0,Single,PhD,Engineer,3096.0
42.0,Female,98487.0,Single,Master's,CEO,8195.0
63.0,Female,123568.0,Single,Master's,CEO,1946.0
48.0,Male,261455.0,Single,PhD,Doctor,6080.0
25.0,Female,32558.0,Single,Master's,Waiter,3485.0
34.0,Male,102389.0,Single,Bachelor's,Waiter,7116.0
46.0,Female,31292.0,Single,Bachelor's,Teacher,93102.0
60.0,Female,272885.0,Married,Master's,CEO,1884.0
31.0,Male,263208.0,Single,PhD,CEO,2796.0
77.0,Male,404427.9082545613,Single,Bachelor's,Waiter,4071.0
70.0,Male,104109.0,Single,Bachelor's,CEO,1192.0
102.42154354562416,Female,113880.0,Single,Master's,Doctor,60776.0
70.0,Female,60114.0,Married,Master's,Teacher,69331.0
66.0,Male,210867.0,Married,PhD,CEO,8465.0
47.0,Female,211919.0,Single,Bachelor's,Doctor,5837.0
102.42154354562416,Female,73190.0,Single,PhD,CEO,6981.0
24.0,Female,231575.0,Single,PhD,Waiter,9094.0
67.0,Female,46363.0,Single,PhD,CEO,5937.0
77.0,Female,10190.0,Married,PhD,Teacher,312.0
32.0,Male,294810.0,Married,PhD,Teacher,9858.0
65.0,Female,404427.9082545613,Married,PhD,CEO,2035.0
29.0,Female,68746.0,Single,Bachelor's,CEO,1890.0
102.42154354562416,Male,139229.0,Single,PhD,CEO,5679.0
71.0,Female,190208.0,Single,Master's,Waiter,9004.0
47.0,Female,287831.0,Single,Master's,Doctor,8472.0
59.0,Male,266319.0,Single,PhD,CEO,6333.0
41.0,Female,164778.0,Single,Bachelor's,CEO,7976.0
53.0,Male,241889.0,Single,Master's,CEO,5234.0
59.0,Male,404427.9082545613,Married,PhD,Waiter,9122.0
45.0,Female,10410.0,Single,Bachelor's,Teacher,9780.0
70.0,Male,267103.0,Married,Master's,Doctor,2481.0
25.0,Female,22571.0,Married,Bachelor's,Teacher,5033.0
31.0,Male,99468.0,Single,Master's,CEO,6851.0
102.42154354562416,Male,220378.0,Married,PhD,Doctor,86585.0
33.0,Male,44726.0,Single,Bachelor's,Doctor,79921.0
21.0,Female,37280.0,Single,Bachelor's,Engineer,7851.0
66.0,Female,266655.0,Single,PhD,CEO,4860.0
64.0,Male,404427.9082545613,Married,PhD,CEO,5585.0
71.0,Female,100903.0,Married,Bachelor's,Doctor,839.0
55.0,Female,116839.0,Single,Bachelor's,Waiter,4822.0
66.0,Male,31971.0,Single,Master's,Waiter,9317.0
21.0,Female,144357.0,Married,Master's,Engineer,3774.0
76.0,Female,291569.0,Married,Master's,Waiter,2551.0
102.42154354562416,Male,9598.0,Single,Bachelor's,Engineer,8496.0
69.0,Female,282218.0,Single,PhD,CEO,3240.0
69.0,Female,97326.0,Single,PhD,CEO,7150.0
74.0,Female,201797.0,Single,Bachelor's,CEO,4446.0
73.0,Female,283909.0,Single,Master's,CEO,6781.0
79.0,Male,240859.0,Single,Master's,CEO,1405.0
64.0,Female,76301.0,Married,Bachelor's,Engineer,4075.0
39.0,Female,136845.0,Single,Master's,Teacher,1652.0
60.0,Female,170819.0,Married,PhD,Waiter,3238.0
73.0,Female,281322.0,Single,Master's,CEO,7409.0
63.0,Female,192707.0,Single,Bachelor's,Engineer,95818.0
48.0,Male,273358.0,Single,Master's,CEO,4900.0
43.0,Female,66712.0,Single,PhD,CEO,2550.0
102.42154354562416,Female,196363.0,Single,Bachelor's,CEO,4056.0
63.0,Female,221897.0,Single,Bachelor's,CEO,1998.0
22.0,Female,265348.0,Single,Master's,Doctor,9733.0
29.0,Male,148431.0,Single,Bachelor's,Waiter,11688.0
61.0,Male,76833.0,Single,Bachelor's,CEO,5619.0
78.0,Male,286676.0,Single,Master's,CEO,6440.0
51.0,Female,59227.0,Single,Master's,CEO,7575.0
21.0,Female,37280.0,Single,Bachelor's,Engineer,7851.0
33.0,Male,44726.0,Single,Bachelor's,Doctor,79921.0
57.0,Female,28391.0,Married,Master's,Engineer,47047.0
78.0,Female,164153.0,Single,Master's,Waiter,39993.0
34.0,Male,209959.0,Married,Master's,Doctor,10002.0
63.0,Female,290619.0,Single,PhD,Engineer,48148.0
22.0,Female,124964.0,Single,Master's,Waiter,9614.0
24.0,Female,7118.0,Married,Bachelor's,Teacher,2375.0
49.0,Male,116980.0,Single,Master's,Doctor,41130.0
47.0,Female,28708.0,Single,Master's,Waiter,26206.0
71.0,Male,23663.0,Single,Master's,Teacher,3672.0
60.0,Male,37992.0,Married,Master's,Teacher,1359.0
57.0,Female,171986.0,Married,Bachelor's,CEO,6339.0
43.0,Male,207894.0,Single,PhD,Waiter,9271.0
61.0,Female,33183.0,Single,Bachelor's,Doctor,4169.0
64.0,Female,85764.0,Married,Master's,CEO,3637.0
51.0,Male,13711.0,Married,PhD,Engineer,1292.0
78.0,Female,269711.0,Single,Master's,Doctor,2127.0
45.0,Female,104523.0,Single,PhD,Teacher,1877.0
50.0,Female,133550.0,Married,Bachelor's,Engineer,6269.0
62.0,Female,26321.0,Single,PhD,CEO,4610.0
67.0,Female,297507.0,Married,PhD,Engineer,89791.0
41.0,Male,104065.0,Single,Master's,CEO,4151.0
52.0,Female,88876.0,Married,Master's,CEO,7079.0
23.0,Female,183099.0,Married,PhD,Doctor,5314.0
69.0,Female,8253.0,Single,Master's,Teacher,9007.0
22.0,Male,79803.0,Married,Bachelor's,Doctor,3367.0
61.0,Male,76833.0,Single,Bachelor's,CEO,5619.0
64.0,Female,180230.0,Married,Bachelor's,CEO,5024.0
56.0,Male,102333.0,Single,Bachelor's,Engineer,78411.0
61.0,Male,178797.0,Single,Master's,Engineer,4042.0
64.0,Female,43755.0,Married,PhD,Engineer,9851.0
48.0,Female,123161.0,Single,Master's,CEO,4834.0
32.0,Female,187474.0,Single,Master's,Engineer,9337.0
19.0,Male,150726.0,Single,Bachelor's,Teacher,53791.0
79.0,Female,27891.0,Single,PhD,CEO,7105.0
68.0,Female,82675.0,Single,Master's,CEO,8285.0
39.0,Male,159288.0,Married,Master's,CEO,3277.0
33.0,Female,20461.0,Single,Bachelor's,Engineer,99147.0
48.0,Male,24346.0,Married,PhD,CEO,1717.0
34.0,Female,404427.9082545613,Single,Bachelor's,Waiter,91506.0
22.0,Female,111209.0,Single,Master's,Teacher,3969.0
77.0,Female,37513.0,Married,PhD,CEO,9282.0
57.0,Female,77637.0,Single,Bachelor's,Engineer,8204.0
60.0,Female,50661.0,Single,Master's,CEO,2051.0
65.0,Female,205791.0,Married,PhD,CEO,6755.0
43.0,Female,19023.0,Single,PhD,Teacher,2459.0
76.0,Female,17960.0,Single,Master's,Waiter,8682.0
53.0,Male,404427.9082545613,Single,PhD,Waiter,35360.0
49.0,Female,229202.0,Single,Master's,CEO,9302.0
58.0,Female,252978.0,Single,Bachelor's,Waiter,5643.0
31.0,Female,404427.9082545613,Single,PhD,Teacher,1766.0
61.0,Male,49629.0,Single,Bachelor's,CEO,7284.0
21.0,Female,144357.0,Married,Master's,Engineer,3774.0
45.0,Female,153633.0,Single,Master's,CEO,6595.0
36.0,Male,55764.0,Married,Master's,Waiter,278.0
74.0,Female,93159.0,Married,Master's,CEO,8788.0
35.0,Female,6384.0,Married,PhD,Waiter,827.0
65.0,Female,42191.0,Single,Master's,CEO,4226.0
41.0,Male,104065.0,Single,Master's,CEO,4151.0
102.42154354562416,Male,221487.0,Single,Master's,CEO,1309.0
26.0,Female,163898.0,Married,Master's,CEO,7812.0
53.0,Female,34135.0,Married,Master's,Doctor,73780.0
75.0,Male,57602.0,Married,Bachelor's,Engineer,1950.0
67.0,Female,164765.0,Married,Bachelor's,CEO,5274.0
41.0,Male,77728.0,Single,PhD,Engineer,1919.0
26.0,Male,22242.0,Single,Bachelor's,Doctor,145.0
49.0,Male,124285.0,Single,Bachelor's,CEO,6376.0
37.0,Female,28410.0,Married,Bachelor's,Teacher,4643.0
29.0,Male,46345.0,Married,PhD,Waiter,4061.0
30.0,Male,148378.0,Married,Master's,CEO,5847.0
21.0,Male,166982.0,Single,Master's,CEO,5842.0
70.0,Female,271750.0,Married,Bachelor's,CEO,7227.0
